[2025-10-15 13:21:35+0300] [INFO] Starting model server on 36285 for compression
[2025-10-15 13:21:35+0300] [INFO] which python: /usr/bin/python
[2025-10-15 13:21:35+0300] [INFO] which uvicorn: /export/home/proiecte/aux/ovidiu.ghibea/.local/bin/uvicorn
[2025-10-15 13:21:35+0300] [INFO] key env: MCP_TRANSPORT=stdio MCP_BASE_DIR=/export/home/proiecte/aux/ovidiu.ghibea/Futural_WebApp/MCP-main
[2025-10-15 13:21:35+0300] [INFO] SLURM_JOB_GPUS=3 CUDA_VISIBLE_DEVICES=0
[2025-10-15 13:21:35+0300] [INFO] Uvicorn (srun step) PID: 1519051
[2025-10-15 13:21:35+0300] [INFO] Waiting for model server health...
[2025-10-15 13:21:37+0300] [INFO] Waiting for model server health...
[2025-10-15 13:21:39+0300] [INFO] Waiting for model server health...
[2025-10-15 13:21:41+0300] [INFO] Waiting for model server health...
[2025-10-15 13:21:43+0300] [INFO] Waiting for model server health...
[2025-10-15 13:21:45+0300] [INFO] Waiting for model server health...
[2025-10-15 13:21:47+0300] [INFO] Waiting for model server health...
[2025-10-15 13:21:49+0300] [INFO] Waiting for model server health...
[2025-10-15 13:21:51+0300] [INFO] Waiting for model server health...
[2025-10-15 13:21:53+0300] [INFO] Waiting for model server health...
[2025-10-15 13:21:55+0300] [INFO] Waiting for model server health...
[2025-10-15 13:21:57+0300] [INFO] Waiting for model server health...
[2025-10-15 13:21:59+0300] [INFO] Waiting for model server health...
[2025-10-15 13:22:01+0300] [INFO] Waiting for model server health...
[2025-10-15 13:22:03+0300] [INFO] Waiting for model server health...
[2025-10-15 13:22:06+0300] [INFO] Waiting for model server health...
[2025-10-15 13:22:08+0300] [INFO] Waiting for model server health...
[2025-10-15 13:22:10+0300] [INFO] Waiting for model server health...
[2025-10-15 13:22:12+0300] [INFO] Waiting for model server health...
[2025-10-15 13:22:14+0300] [INFO] Waiting for model server health...
[2025-10-15 13:22:16+0300] [INFO] Waiting for model server health...
[2025-10-15 13:22:18+0300] [INFO] Waiting for model server health...
[2025-10-15 13:22:20+0300] [INFO] Waiting for model server health...
[2025-10-15 13:22:22+0300] [INFO] Waiting for model server health...
[2025-10-15 13:22:24+0300] [INFO] Waiting for model server health...
[2025-10-15 13:22:26+0300] [INFO] Waiting for model server health...
[2025-10-15 13:22:28+0300] [INFO] Waiting for model server health...
[2025-10-15 13:22:30+0300] [INFO] Waiting for model server health...
[2025-10-15 13:22:32+0300] [INFO] Waiting for model server health...
[2025-10-15 13:22:34+0300] [INFO] Waiting for model server health...
[2025-10-15 13:22:36+0300] [INFO] Waiting for model server health...
[2025-10-15 13:22:38+0300] [INFO] Waiting for model server health...
[2025-10-15 13:22:40+0300] [INFO] Waiting for model server health...
[2025-10-15 13:22:42+0300] [INFO] Waiting for model server health...
[2025-10-15 13:22:44+0300] [INFO] Waiting for model server health...
[2025-10-15 13:22:46+0300] [INFO] Waiting for model server health...
[2025-10-15 13:22:48+0300] [INFO] Waiting for model server health...
[2025-10-15 13:22:50+0300] [INFO] Waiting for model server health...
[2025-10-15 13:22:52+0300] [INFO] Waiting for model server health...
[2025-10-15 13:22:54+0300] [INFO] Waiting for model server health...
[2025-10-15 13:22:56+0300] [INFO] Waiting for model server health...
[2025-10-15 13:22:58+0300] [INFO] Waiting for model server health...
[2025-10-15 13:23:00+0300] [INFO] Waiting for model server health...
[2025-10-15 13:23:02+0300] [INFO] Waiting for model server health...
[2025-10-15 13:23:04+0300] [INFO] Waiting for model server health...
[2025-10-15 13:23:06+0300] [INFO] Waiting for model server health...
[2025-10-15 13:23:08+0300] [INFO] Waiting for model server health...
[2025-10-15 13:23:10+0300] [INFO] Waiting for model server health...
[2025-10-15 13:23:12+0300] [INFO] Waiting for model server health...
[2025-10-15 13:23:14+0300] [INFO] Waiting for model server health...
[2025-10-15 13:23:16+0300] [INFO] Waiting for model server health...
[2025-10-15 13:23:18+0300] [INFO] Waiting for model server health...
[2025-10-15 13:23:20+0300] [INFO] Waiting for model server health...
[2025-10-15 13:23:22+0300] [INFO] Waiting for model server health...
[2025-10-15 13:23:24+0300] [INFO] Waiting for model server health...
[2025-10-15 13:23:26+0300] [INFO] Waiting for model server health...
[2025-10-15 13:23:28+0300] [INFO] Waiting for model server health...
[2025-10-15 13:23:30+0300] [INFO] Waiting for model server health...
[2025-10-15 13:23:32+0300] [INFO] Waiting for model server health...
[2025-10-15 13:23:34+0300] [INFO] Waiting for model server health...
[2025-10-15 13:23:36+0300] [INFO] Waiting for model server health...
[2025-10-15 13:23:38+0300] [INFO] Waiting for model server health...
[2025-10-15 13:23:40+0300] [INFO] Waiting for model server health...
[2025-10-15 13:23:42+0300] [INFO] Waiting for model server health...
[2025-10-15 13:23:44+0300] [INFO] Waiting for model server health...
[2025-10-15 13:23:46+0300] [INFO] Waiting for model server health...
[2025-10-15 13:23:48+0300] [INFO] Waiting for model server health...
[2025-10-15 13:23:50+0300] [INFO] Waiting for model server health...
[2025-10-15 13:23:52+0300] [INFO] Waiting for model server health...
[2025-10-15 13:23:54+0300] [INFO] Waiting for model server health...
[2025-10-15 13:23:56+0300] [INFO] Waiting for model server health...
[2025-10-15 13:23:58+0300] [INFO] Waiting for model server health...
[2025-10-15 13:24:00+0300] [INFO] Waiting for model server health...
[2025-10-15 13:24:02+0300] [INFO] Waiting for model server health...
[2025-10-15 13:24:04+0300] [INFO] Waiting for model server health...
[2025-10-15 13:24:06+0300] [INFO] Waiting for model server health...
[2025-10-15 13:24:08+0300] [INFO] Waiting for model server health...
[2025-10-15 13:24:10+0300] [INFO] Waiting for model server health...
[2025-10-15 13:24:12+0300] [INFO] Waiting for model server health...
[2025-10-15 13:24:14+0300] [INFO] Waiting for model server health...
[2025-10-15 13:24:16+0300] [INFO] Waiting for model server health...
[2025-10-15 13:24:18+0300] [INFO] Waiting for model server health...
[2025-10-15 13:24:20+0300] [INFO] Waiting for model server health...
[2025-10-15 13:24:22+0300] [INFO] Waiting for model server health...
[2025-10-15 13:24:24+0300] [INFO] Waiting for model server health...
[2025-10-15 13:24:26+0300] [INFO] Waiting for model server health...
[2025-10-15 13:24:28+0300] [INFO] Waiting for model server health...
[2025-10-15 13:24:30+0300] [INFO] Waiting for model server health...
[2025-10-15 13:24:32+0300] [INFO] Waiting for model server health...
